id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
577029821711588779,Home in Denver · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,47065656,Patrick,,Gateway - Green Valley Ranch,39.79387,-104.77079,Private room,49,1,226,2023-12-21,11.01,2,353,188,2023-BFN-0024871
816678931918307451,Home in Denver · ★4.90 · 1 bedroom · 2 beds · 1 private bath,144046799,Judah,,University,39.67960351267569,-104.96634127540902,Private room,52,2,42,2023-12-01,4.41,1,325,42,2020-BFN-0001267
758859821703754837,Home in Denver · ★4.95 · 3 bedrooms · 3 beds · 1 bath,487464714,Clint,,Mar Lee,39.6855889,-105.0414266,Entire home/apt,140,1,21,2023-10-20,1.71,1,209,20,2022-BFN-0008787
894261577305142944,Guesthouse in Denver · ★4.90 · 2 bedrooms · 2 beds · 1 bath,38395277,Savannah,,Baker,39.718389430811236,-104.99696731163941,Entire home/apt,104,2,30,2023-12-25,4.09,1,355,30,2023-BFN-0012743
46047848,Home in Denver · ★5.0 · 2 bedrooms · 2 beds · 1 bath,13784247,Kathryn,,Cole,39.7668,-104.96343,Entire home/apt,149,29,17,2023-07-22,0.45,1,102,2,2020-BFN-0005136
53059477,Home in Denver · ★5.0 · 2 bedrooms · 4 beds · 1 bath,110841338,Lance,,Valverde,39.71272,-105.02338,Entire home/apt,120,2,43,2023-12-01,2.46,1,80,27,2020-BFN-0004187
3138055,Home in Denver · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,15933305,Sarah,,Capitol Hill,39.73193,-104.97878,Entire home/apt,299,4,31,2023-09-22,0.46,2,63,2,2018-BFN-0004864
15831072,Guest suite in Denver · ★4.95 · 1 bedroom · 2 beds · 1 bath,55376910,Kelsey,,Whittier,39.75703,-104.96115,Entire home/apt,112,2,725,2023-12-13,8.36,2,0,93,2017-BFN-0001649
813826195570388478,Rental unit in Denver · 2 bedrooms · 2 beds · 1 bath,18590788,Zosia,,Barnum,39.71777,-105.039,Entire home/apt,82,30,2,2023-11-03,0.66,8,149,2,
1940,Guesthouse in Denver · ★4.95 · Studio · 1 bed · 1 bath,2150,Joanne,,Baker,39.72048568725586,-104.99752044677734,Entire home/apt,99,1,156,2023-12-18,1.85,1,175,44,2018-BFN-0002596
984948857035148672,Condo in Denver · 1 bedroom · 1 bed · 1 bath,538124633,Rhonda,,Windsor,39.70929852726961,-104.89163363987137,Entire home/apt,70,29,1,2023-11-12,0.63,1,354,1,
974668976888104964,Rental unit in Denver · 1 bedroom · 1 bed · 1 bath,479520142,BlackPine,,Five Points,39.772111782347686,-104.97631436113993,Entire home/apt,79,30,1,2023-10-21,0.43,76,248,1,
877458847179592105,Rental unit in Denver · ★4.67 · 1 bedroom · 1 bed · 1 bath,479520142,BlackPine,,DIA,39.80580275019699,-104.76930701382955,Entire home/apt,85,30,3,2023-11-04,0.54,76,320,3,
11105109,Home in Denver · ★4.75 · 2 bedrooms · 2 beds · 1 bath,109171314,Germaine,,Barnum,39.720222,-105.026703,Entire home/apt,99,30,8,2023-04-26,0.09,1,238,1,
51129956,Guest suite in Denver · ★4.95 · 1 bedroom · 1 bed · 1 bath,25330430,Aden,,Ruby Hill,39.68646,-105.01198,Entire home/apt,101,1,148,2023-12-10,4.98,1,0,55,2019-BFN-0000922
599353045681403948,Home in Denver · ★4.99 · 3 bedrooms · 4 beds · 2 baths,127018432,Robert,,Cole,39.76814,-104.97275,Entire home/apt,248,2,88,2023-12-25,4.66,2,27,60,2021-BFN-0007215
26201544,Guest suite in Denver · ★4.96 · 2 bedrooms · 6 beds · 1 bath,196667037,Katia,,Gateway - Green Valley Ranch,39.79334,-104.79926,Entire home/apt,106,1,606,2023-12-24,9.09,2,0,90,2020-BFN-0000970
752983453680865544,Home in Denver · ★4.98 · 1 bedroom · 1 bed · 1 bath,87297091,Lauren,,Northeast Park Hill,39.76837,-104.93224,Entire home/apt,96,29,57,2023-11-30,5.12,1,177,57,2022-BFN-0015286
23611485,Home in Denver · ★4.92 · 1 bedroom · 1 bed · 1 private bath,136127424,Kelly,,University Hills,39.66296,-104.92735,Private room,58,2,145,2023-09-30,2.08,1,0,19,2020-BFN-0001042
1034005377962402120,Home in Denver · ★New · 4 bedrooms · 4 beds · 2.5 baths,242360115,Travis,,Virginia Village,39.69348029682506,-104.92025613575441,Private room,174,1,0,,,2,362,0,2023-BFN-0029335
874167950327301684,Home in Denver · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,24986221,Rebecca,,Cole,39.769634841084304,-104.9650972711012,Entire home/apt,370,2,7,2023-11-05,1.58,1,266,7,2023-BFN-0022499
709546711302251236,Home in Denver · ★4.84 · 3 bedrooms · 5 beds · 2.5 baths,84927766,Kevin,,Gateway - Green Valley Ranch,39.79811,-104.75563,Entire home/apt,220,1,25,2023-12-05,1.82,1,349,24,2022-BFN-0009795
45932312,Home in Denver · ★4.99 · 3 bedrooms · 3 beds · 2 baths,15941132,Tyler,,Speer,39.71306,-104.98274,Entire home/apt,363,3,113,2023-12-26,4.09,1,213,43,2021-BFN-0006547
877400542506261323,Rental unit in Denver · 1 bedroom · 1 bed · 1 bath,479520142,BlackPine,,DIA,39.80787903929221,-104.76767668111667,Entire home/apt,47,30,2,2023-12-16,0.28,76,335,2,
689431329193056026,Home in Denver · ★4.95 · 3 bedrooms · 3 beds · 2.5 baths,126674219,Jesse,,Lowry Field,39.72128,-104.89339,Entire home/apt,329,1,43,2023-12-19,2.70,1,173,38,2022-BFN-0008925
671523050903034882,Guest suite in Denver · ★4.92 · 1 bedroom · 1 bed · 1 bath,173563207,Jeremy,,Washington Park West,39.70196379488473,-104.97997172176838,Entire home/apt,96,29,66,2023-11-19,4.31,2,173,46,2022-BFN-0010687
801368493125051598,Home in Denver · 3 bedrooms · 4 beds · 3.5 baths,112946020,Karen,,Stapleton,39.80366401723674,-104.88119447571229,Entire home/apt,314,3,1,2023-11-13,0.64,1,280,1,2022-BFN-0017316
